chr 1	10027	10004
chr 1	10033	10010
chr 1	10039	10016
chr 1	10045	10022
chr 1	10051	10028
chr 1	10057	10034
chr 1	10063	10040
chr 1	10069	10046
chr 1	10075	10052
chr 1	10081	10058
chr 1	10087	10064
chr 1	10093	10070
chr 1	10099	10076
chr 1	10105	10082
chr 1	10134	10111
chr 1	10140	10117
chr 1	10146	10123
chr 1	10171	10148
chr 1	10177	10154
chr 1	10206	10183
chr 1	10212	10189
chr 1	10218	10195
chr 1	10224	10201
chr 1	10230	10207
chr 1	10281	10258
chr 1	10287	10264
chr 1	10377	10354
chr 1	10383	10360
chr 1	10389	10366
chr 1	10421	10398
chr 1	10427	10404
chr 1	10433	10410
chr 1	10439	10416
chr 1	10464	10441
chr 1	11500219	11500196
chr 1	18580877	18580854
chr 1	18580883	18580860
chr 1	41747658	41747635
chr 1	78594449	78594426
chr 1	78594455	78594432
chr 1	78594461	78594438
chr 1	249239908	249239931
chr 1	249239914	249239937
chr 1	249239920	249239943
chr 1	249239926	249239949
chr 1	249239955	249239978
chr 1	249239987	249240010
chr 1	249240026	249240049
chr 1	249240055	249240078
chr 1	249240061	249240084
chr 1	249240135	249240158
chr 1	249240141	249240164
chr 1	249240147	249240170
chr 1	249240176	249240199
chr 1	249240182	249240205
chr 1	249240188	249240211
chr 1	249240194	249240217
chr 1	249240223	249240246
chr 1	249240229	249240252
chr 1	249240235	249240258
chr 1	249240260	249240283
chr 1	249240266	249240289
chr 1	249240272	249240295
chr 1	249240278	249240301
chr 1	249240307	249240330
chr 1	249240313	249240336
chr 1	249240399	249240422
chr 1	249240405	249240428
chr 1	249240411	249240434
chr 1	249240417	249240440
chr 1	249240423	249240446
chr 1	249240429	249240452
chr 1	249240479	249240502
chr 1	249240485	249240508
chr 1	249240491	249240514
chr 1	249240497	249240520
chr 1	249240503	249240526
chr 1	249240509	249240532
chr 1	249240515	249240538
chr 1	249240549	249240572
chr 1	249240555	249240578
chr 1	249240561	249240584
chr 1	249240567	249240590
chr 1	249240573	249240596
chr 1	249240579	249240602
chr 1	10200	10178
chr 1	10353	10331
chr 1	41747652	41747630
chr 1	249239903	249239925
chr 1	249239950	249239972
chr 1	249240171	249240193
chr 1	249240218	249240240
chr 1	10468	10447
chr 1	10293	10270
chr 1	5225347	5225324
chr 1	11500192	11500169
chr 1	41747646	41747623
chr 1	249240393	249240416
chr 1	249240585	249240608
chr 1	10021	10001
chr 1	10108	10088
chr 1	10149	10129
chr 1	10233	10213
chr 1	10392	10372
chr 1	10442	10422
chr 1	25843593	25843613
chr 1	57237285	57237305
chr 1	73822581	73822601
chr 1	79835786	79835766
chr 1	249239984	249240004
chr 1	249240023	249240043
chr 1	249240052	249240072
chr 1	249240100	249240120
chr 1	249240132	249240152
chr 1	249240257	249240277
chr 1	249240304	249240324
chr 1	249240476	249240496
chr 1	249240546	249240566
chr 2	182140546	182140523
chr 2	182140552	182140529
chr 2	182140558	182140535
chr 2	182140564	182140541
chr 2	182140570	182140547
chr 2	182140576	182140553
chr 2	182140582	182140559
chr 2	241161289	241161312
chr 2	241161295	241161318
chr 2	243152504	243152481
chr 2	243152510	243152487
chr 2	243152516	243152493
chr 2	243152522	243152499
chr 2	243152528	243152505
chr 2	243152534	243152511
chr 2	243152540	243152517
chr 2	243152546	243152523
chr 2	243152552	243152529
chr 2	243152558	243152535
chr 2	243152564	243152541
chr 2	243152570	243152547
chr 2	243152576	243152553
chr 2	87142405	87142427
chr 2	222928156	222928178
chr 2	75299660	75299639
chr 2	182140540	182140519
chr 2	241161301	241161322
chr 2	243152498	243152477
chr 2	243152580	243152559
chr 2	10236	10213
chr 2	10274	10251
chr 2	10280	10257
chr 2	75299666	75299643
chr 2	114360626	114360603
chr 2	114360836	114360813
chr 2	114382139	114382116
chr 2	241553208	241553185
chr 2	241553545	241553522
chr 2	10239	10219
chr 2	182140585	182140565
chr 3	59407504	59407527
chr 3	159412048	159412025
chr 3	159412054	159412031
chr 3	197899896	197899919
chr 3	197900135	197900158
chr 3	197900165	197900188
chr 3	197900264	197900287
chr 3	197900311	197900334
chr 3	197900317	197900340
chr 3	197900323	197900346
chr 3	197900530	197900553
chr 3	197900705	197900728
chr 3	197900711	197900734
chr 3	197900760	197900783
